Name,RA,DEC,Ever Observable(I-LOFAR),Always Observable(I-LOFAR),Ever Observable(LOFAR-SE),Always Observable(LOFAR-SE),Fraction of observable time (I-LOFAR),Fraction of observable time (LOFAR-SE)
TIC233602827,18.849149,64.419466,True,True,True,True,1.0,1.0
TIC394050135,18.853017,82.245414,True,True,True,True,1.0,1.0
TIC229781583,18.902369,69.633534,True,True,True,True,1.0,1.0
TIC236815160,18.909166,59.76319300000001,True,True,True,True,1.0,1.0
TIC233617847,18.919636999999998,64.53137,True,True,True,True,1.0,1.0
TIC229787062,18.934845000000003,70.25412,True,True,True,True,1.0,1.0
TIC267574918,18.961045000000002,53.509024,True,True,True,False,1.0,0.9574468085106383
TIC229791084,18.962927,69.570837,True,True,True,True,1.0,1.0
TIC233633993,18.984516,60.154455000000006,True,True,True,True,1.0,1.0
TIC230375747,19.001378,63.42983,True,True,True,True,1.0,1.0
TIC230377505,19.013707,60.233670999999994,True,True,True,True,1.0,1.0
TIC235678745,19.042435,75.418514,True,True,True,True,1.0,1.0
TIC230386259,19.048568,63.948848999999996,True,True,True,True,1.0,1.0
TIC230386397,19.052401,64.23025600000001,True,True,True,True,1.0,1.0
TIC230387153,19.061446,65.78567199999999,True,True,True,True,1.0,1.0
TIC377191482,19.062473999999998,59.164074,True,True,True,True,1.0,1.0
TIC362220495,19.081864000000003,79.755949,True,True,True,True,1.0,1.0
TIC405717754,19.082895999999998,50.040366999999996,True,True,True,False,1.0,0.7659574468085106
TIC377290815,19.106199,56.629312,True,True,True,True,1.0,1.0
TIC1718201850,19.116437,71.712195,True,True,True,True,1.0,1.0
TIC258777137,19.116476000000002,71.712375,True,True,True,True,1.0,1.0
TIC258777134,19.116525,71.7136,True,True,True,True,1.0,1.0
TIC399860444,19.120568,49.316421000000005,True,True,True,False,1.0,0.7287234042553191
TIC377293776,19.123604,59.086625,True,True,True,True,1.0,1.0
TIC258801269,19.135006,66.290697,True,True,True,True,1.0,1.0
TIC377304435,19.136677,55.303691,True,True,True,True,1.0,1.0
TIC416195870,19.149473,57.344126,True,True,True,True,1.0,1.0
TIC235683377,19.152807,74.174276,True,True,True,True,1.0,1.0
TIC258829450,19.177754999999998,66.76809300000001,True,True,True,True,1.0,1.0
TIC229938290,19.178734,64.153662,True,True,True,True,1.0,1.0
TIC158561566,19.180588,47.33305,True,True,True,False,1.0,0.6382978723404256
TIC258871793,19.192985999999998,66.32806500000001,True,True,True,True,1.0,1.0
TIC229940491,19.203301,63.657061,True,True,True,True,1.0,1.0
TIC284361752,19.207238,54.640427,True,True,True,True,1.0,1.0
TIC229944666,19.225665,62.203124,True,True,True,True,1.0,1.0
TIC229951289,19.245028,60.670947999999996,True,True,True,True,1.0,1.0
TIC421308357,19.25454,57.760569,True,True,True,True,1.0,1.0
TIC299158887,19.281753,49.548281,True,True,True,False,1.0,0.7446808510638298
TIC243313296,19.300889,56.236779000000006,True,True,True,True,1.0,1.0
TIC243335710,19.324107,59.670111999999996,True,True,True,True,1.0,1.0
TIC1884091865,19.340591,61.085446999999995,True,True,True,True,1.0,1.0
TIC420112589,19.344932,73.19510799999999,True,True,True,True,1.0,1.0
TIC420112587,19.344932,73.195993,True,True,True,True,1.0,1.0
TIC230001847,19.374660000000002,60.85390400000001,True,True,True,True,1.0,1.0
TIC284450803,19.380598000000003,56.615388,True,True,True,True,1.0,1.0
TIC235905185,19.391828,78.75421700000001,True,True,True,True,1.0,1.0
TIC417676622,19.402154,49.040213,True,True,True,False,1.0,0.723404255319149
TIC284477310,19.408398000000002,56.881296,True,True,True,True,1.0,1.0
TIC284475976,19.410826,55.473027,True,True,True,True,1.0,1.0
TIC259126549,19.427457,69.11298000000001,True,True,True,True,1.0,1.0
TIC230017324,19.431020999999998,61.776153,True,True,True,True,1.0,1.0
TIC230017325,19.431275,61.776068,True,True,True,True,1.0,1.0
TIC284564230,19.434935,58.51018199999999,True,True,True,True,1.0,1.0
TIC259129875,19.458682999999997,68.01469499999999,True,True,True,True,1.0,1.0
TIC26547036,19.477795999999998,53.487368999999994,True,True,True,False,1.0,0.9680851063829787
TIC352239069,19.479739000000002,58.614764,True,True,True,True,1.0,1.0
TIC424865156,19.483145999999998,47.969543,True,True,True,False,1.0,0.675531914893617
TIC259168516,19.487599,65.973802,True,True,True,True,1.0,1.0
TIC229400092,19.497255,62.529189,True,True,True,True,1.0,1.0
TIC287190564,19.500345000000003,54.108503000000006,True,True,True,True,1.0,1.0
TIC287196418,19.515609,59.403853000000005,True,True,True,True,1.0,1.0
TIC259172391,19.517849,71.49735799999999,True,True,True,True,1.0,1.0
TIC237201858,19.521554000000002,72.538317,True,True,True,True,1.0,1.0
TIC237200747,19.5355,74.89107299999999,True,True,True,True,1.0,1.0
TIC26880783,19.562904999999997,53.464527000000004,True,True,True,False,1.0,0.9680851063829787
TIC235937532,19.594307,81.55479100000001,True,True,True,True,1.0,1.0
TIC229455001,19.619405,60.881302000000005,True,True,True,True,1.0,1.0
TIC237211410,19.62507,74.78231,True,True,True,True,1.0,1.0
