Name,RA,DEC,Distance (pc),Ever Observable(I),Always Observable(I),Ever Observable(SE),Always Observable(SE),Fraction of observable time (SE),Fraction of observable time (SE)
TIC95129101,7.662191,28.120146000000002,346.7887,True,False,True,False,0.2009132420091324,0.2009132420091324
TIC71347873,7.706225,70.404076,,True,False,True,False,0.4018264840182648,0.4018264840182648
TIC241173474,7.740486,43.009079,237.3662,True,False,True,False,0.45662100456621,0.45662100456621
TIC71431780,7.78648,68.476685,101.0203,True,False,True,False,0.4200913242009132,0.4200913242009132
TIC356473034,7.801785000000001,50.225147,150.177,True,False,True,False,0.4794520547945205,0.4794520547945205
TIC130181866,7.831958,27.363134000000002,22.418,True,False,True,False,0.1780821917808219,0.1780821917808219
TIC29119552,7.908655,45.807840999999996,270.3945,True,False,True,False,0.4611872146118721,0.4611872146118721
TIC53427308,7.925451,54.596601,253.0749,True,False,True,False,0.5068493150684932,0.5068493150684932
TIC285048486,8.040778999999999,64.79715300000001,60.9047,True,False,True,False,0.45662100456621,0.45662100456621
TIC461662295,8.296444000000001,51.01037,113.3466,True,False,True,False,0.4840182648401826,0.4840182648401826
TIC22705558,8.345916,46.203604,206.4836,True,False,True,False,0.4657534246575342,0.4657534246575342
TIC23650642,8.405908,42.104735,190.7851,True,False,True,False,0.4611872146118721,0.4611872146118721
TIC81212286,8.46884,56.42752900000001,58.4153,True,False,True,False,0.5251141552511416,0.5251141552511416
TIC67926921,8.529713000000001,44.832314000000004,583.8052,True,False,True,False,0.4611872146118721,0.4611872146118721
TIC137500798,8.842334,82.92712,338.7878,True,False,True,False,0.4474885844748858,0.4474885844748858
TIC332064670,8.876456,28.329815000000004,12.5901,True,False,True,False,0.228310502283105,0.228310502283105
TIC302518439,8.941336,72.533275,,True,False,True,False,0.3607305936073059,0.3607305936073059
TIC293617835,9.019831,55.85994,228.6289,True,False,True,False,0.5205479452054794,0.5205479452054794
TIC219698776,9.048843,71.636416,43.2404,True,False,True,False,0.365296803652968,0.365296803652968
TIC39699648,9.11851,46.672425,99.7367,True,False,True,False,0.4657534246575342,0.4657534246575342
TIC8767448,9.340198,33.882329,228.99,True,False,True,False,0.4018264840182648,0.4018264840182648
TIC457138169,9.42453,50.908874,164.2117,True,False,True,False,0.4840182648401826,0.4840182648401826
TIC86280613,9.448072,61.698995999999994,250.4759,True,False,True,False,0.4703196347031963,0.4703196347031963
TIC287225295,9.600023,51.607784,90.9347,True,False,True,False,0.4885844748858447,0.4885844748858447
TIC147576037,9.622760000000001,68.458703,437.4836,True,False,True,False,0.3835616438356164,0.3835616438356164
TIC67646988,9.851235,35.968556,33.96,True,False,True,False,0.4657534246575342,0.4657534246575342
TIC4897275,9.877462,35.111008,54.0573,True,False,True,False,0.4429223744292237,0.4429223744292237
TIC67666096,9.909541,40.387945,211.349,True,False,True,False,0.4611872146118721,0.4611872146118721
TIC9348006,10.007672999999999,39.457751,149.8734,True,False,True,False,0.4611872146118721,0.4611872146118721
TIC137881699,10.038175,53.950824,961.908,True,False,True,False,0.502283105022831,0.502283105022831
TIC142748283,10.107913,74.827211,,True,False,True,False,0.3242009132420091,0.3242009132420091
TIC29191596,10.114669000000001,45.883328000000006,69.4604,True,False,True,False,0.4657534246575342,0.4657534246575342
TIC29191624,10.120469,46.114881,79.9488,True,False,True,False,0.4657534246575342,0.4657534246575342
TIC137906197,10.140186,55.53996,158.313,True,False,True,False,0.5205479452054794,0.5205479452054794
TIC103633434,10.147884,69.27662,39.68,True,False,True,False,0.365296803652968,0.365296803652968
TIC103633672,10.148232,70.39455699999999,84.7838,True,False,True,False,0.3561643835616438,0.3561643835616438
TIC372730331,10.155364,39.162411,330.5785,True,False,True,False,0.4657534246575342,0.4657534246575342
TIC241196395,10.236646,29.085524,172.7832,True,False,True,False,0.2785388127853881,0.2785388127853881
TIC252479260,10.378764,50.128710999999996,81.9578,True,False,True,False,0.4794520547945205,0.4794520547945205
TIC85293053,10.455847,34.39095,98.0277,True,False,True,False,0.4337899543378995,0.4337899543378995
TIC355867695,10.476271,65.854199,73.7545,True,False,True,False,0.3972602739726027,0.3972602739726027
TIC450327768,10.681948,35.913354,192.5595,True,False,True,False,0.4794520547945205,0.4794520547945205
TIC372757221,10.859544999999999,81.322175,222.3309,True,False,True,False,0.3515981735159817,0.3515981735159817
TIC21535395,10.985153,40.983717999999996,44.7039,True,False,True,False,0.4611872146118721,0.4611872146118721
TIC99834717,11.011147,64.96384499999999,264.69,True,False,True,False,0.3972602739726027,0.3972602739726027
TIC166648874,11.074542999999998,30.458576,55.6093,True,False,True,False,0.3378995433789954,0.3378995433789954
TIC99869022,11.125377,61.352577000000004,250.2127,True,False,True,False,0.4429223744292237,0.4429223744292237
TIC8967242,11.148861,34.303015,62.2382,True,False,True,False,0.4474885844748858,0.4474885844748858
TIC9392421,11.185189999999999,39.526672999999995,315.2585,True,False,True,False,0.4657534246575342,0.4657534246575342
TIC17993892,11.418329,41.028021,279.478,True,False,True,False,0.4611872146118721,0.4611872146118721
TIC307734817,11.439803,28.056534999999997,,True,False,True,False,0.2694063926940639,0.2694063926940639
TIC148679712,11.478075,46.480464000000005,139.6687,True,False,True,False,0.4657534246575342,0.4657534246575342
TIC144401492,11.86974,35.1718,119.6416,True,False,True,False,0.4840182648401826,0.4840182648401826
TIC224297258,12.337525,56.201409,107.387,True,False,True,False,0.502283105022831,0.502283105022831
TIC224298134,12.35588,57.752364,37.1058,True,False,True,False,0.4748858447488584,0.4748858447488584
TIC417931300,12.418237,60.418346,53.0141,True,False,True,False,0.4337899543378995,0.4337899543378995
TIC417931607,12.434952000000001,61.258929,92.1812,True,False,True,False,0.4200913242009132,0.4200913242009132
TIC285094173,12.438792,46.470824,278.5903,True,False,True,False,0.4611872146118721,0.4611872146118721
TIC393831507,12.512448,27.452002,250.2315,True,False,True,False,0.2694063926940639,0.2694063926940639
TIC373693175,12.55108,44.915366999999996,296.93,True,False,True,False,0.4657534246575342,0.4657534246575342
TIC376524552,12.594824000000001,27.214377000000002,128.7018,True,False,True,False,0.2648401826484018,0.2648401826484018
TIC330799746,12.875411999999999,34.901028000000004,406.5867,True,False,True,False,0.4885844748858447,0.4885844748858447
TIC165987272,13.065456,30.640145,242.395,True,False,True,False,0.3789954337899543,0.3789954337899543
TIC142387023,13.182082000000001,61.744849,59.5334,True,False,True,False,0.4018264840182648,0.4018264840182648
TIC417948359,13.279747,49.861059000000004,,True,False,True,False,0.4748858447488584,0.4748858447488584
TIC180652891,13.307155999999999,35.953983,320.4204,True,False,True,False,0.4794520547945205,0.4794520547945205
TIC180695581,13.418842000000001,38.922367,42.6299,True,False,True,False,0.4703196347031963,0.4703196347031963
TIC71612483,13.486282999999998,31.401915999999996,,True,False,True,False,0.410958904109589,0.410958904109589
TIC286916251,13.559832,49.060843,156.4945,True,False,True,False,0.4748858447488584,0.4748858447488584
TIC286923464,13.567329999999998,53.728188,92.5052,True,False,True,False,0.502283105022831,0.502283105022831
TIC219824469,13.629334,48.250122999999995,299.4998,True,False,True,False,0.4703196347031963,0.4703196347031963
TIC311035838,13.739601,48.028565,135.079,True,False,True,False,0.4703196347031963,0.4703196347031963
TIC393911494,13.811897,44.911752,121.5909,True,False,True,False,0.4611872146118721,0.4611872146118721
TIC144441148,13.860394,33.49239,159.9386,True,False,True,False,0.4748858447488584,0.4748858447488584
TIC23740089,13.87331,37.748612,190.0526,True,False,True,False,0.4703196347031963,0.4703196347031963
TIC198108326,13.959242999999999,43.49331,141.949,True,False,True,False,0.4611872146118721,0.4611872146118721
TIC288132261,13.965620999999999,79.583322,155.642,True,False,True,False,0.2648401826484018,0.2648401826484018
TIC441642457,13.992154999999999,58.93291,124.392,True,False,True,False,0.4246575342465753,0.4246575342465753
TIC23814735,14.002973999999998,38.705641,,True,False,True,False,0.4703196347031963,0.4703196347031963
TIC198153540,14.072929,46.519283,113.5525,True,False,True,False,0.4657534246575342,0.4657534246575342
TIC393965778,14.169832000000001,45.563868,177.6609,True,False,True,False,0.4657534246575342,0.4657534246575342
TIC168699373,14.209591,47.014783,351.383,True,False,True,False,0.4657534246575342,0.4657534246575342
TIC445859771,14.274723999999999,58.390253,178.0183,True,False,True,False,0.4292237442922374,0.4292237442922374
TIC158002130,14.303713,82.193773,72.174,True,False,True,False,0.3105022831050228,0.3105022831050228
TIC154383539,14.373477,55.334258999999996,,True,False,True,False,0.4794520547945205,0.4794520547945205
TIC293687315,14.434922,59.444274,324.38,True,False,True,False,0.410958904109589,0.410958904109589
TIC158025009,14.461566,41.952985999999996,55.1013,True,False,True,False,0.4611872146118721,0.4611872146118721
TIC27491137,14.492801,39.790399,41.96,True,False,True,False,0.4657534246575342,0.4657534246575342
TIC158075010,14.545626,43.756428,131.7731,True,False,True,False,0.4611872146118721,0.4611872146118721
TIC148782377,14.60247,42.378458,112.5163,True,False,True,False,0.45662100456621,0.45662100456621
TIC298164705,14.622561,56.666183999999994,150.7386,True,False,True,False,0.4520547945205479,0.4520547945205479
TIC68035559,14.648948,37.026740000000004,,True,False,True,False,0.4748858447488584,0.4748858447488584
TIC288185138,14.856097,82.95225400000001,225.8866,True,False,True,False,0.3333333333333333,0.3333333333333333
TIC310003988,14.991523999999998,46.9601,,True,False,True,False,0.4657534246575342,0.4657534246575342
TIC262880065,15.021045999999998,40.946827,,True,False,True,False,0.4611872146118721,0.4611872146118721
TIC229888286,15.074434,28.215715000000003,213.6752,True,False,True,False,0.3424657534246575,0.3424657534246575
TIC20182165,15.07875,38.605375,50.3832,True,False,True,False,0.4703196347031963,0.4703196347031963
TIC20203297,15.097976000000001,39.636553,174.871,True,False,True,False,0.4657534246575342,0.4657534246575342
TIC159244568,15.145332000000002,82.446925,151.7658,True,False,True,False,0.3059360730593607,0.3059360730593607
TIC283829553,15.237908,51.468846,120.6389,True,False,True,False,0.4840182648401826,0.4840182648401826
TIC357501308,15.322496,29.207877000000003,28.0183,True,False,True,False,0.3789954337899543,0.3789954337899543
TIC138294130,15.332748,36.229545,323.426,True,False,True,False,0.4794520547945205,0.4794520547945205
TIC368287008,15.47551,27.361072999999998,,True,False,True,False,0.3242009132420091,0.3242009132420091
TIC165763244,15.476033,55.18532,,True,False,True,False,0.4611872146118721,0.4611872146118721
TIC16884216,15.524223000000001,33.902516,36.9679,True,False,True,False,0.502283105022831,0.502283105022831
TIC116483514,15.529735999999998,47.055551,32.5084,True,False,True,False,0.4657534246575342,0.4657534246575342
TIC116483734,15.537722,47.860746,81.2526,True,False,True,False,0.4703196347031963,0.4703196347031963
TIC224313733,15.60661,57.890738,211.7702,True,False,True,False,0.410958904109589,0.410958904109589
TIC159781361,15.628784,48.955206,199.1437,True,False,True,False,0.4748858447488584,0.4748858447488584
TIC405559035,15.657420000000002,55.153498,265.9787,True,False,True,False,0.45662100456621,0.45662100456621
TIC159873822,15.861607000000001,52.306308,116.962,True,False,True,False,0.4885844748858447,0.4885844748858447
TIC188589164,15.971838,35.408114000000005,15.8168,True,False,True,False,0.4885844748858447,0.4885844748858447
TIC310231275,15.985851,32.395973,163.236,True,False,True,False,0.4840182648401826,0.4840182648401826
TIC236312126,16.036618,28.169625,164.328,True,False,True,False,0.3607305936073059,0.3607305936073059
TIC160039081,16.105414,53.514641000000005,63.837,True,False,True,False,0.4794520547945205,0.4794520547945205
