Name,RA,DEC,Distance (pc),Ever Observable(I),Always Observable(I),Ever Observable(SE),Always Observable(SE),Fraction of observable time (I),Fraction of observable time (SE)
TIC233497719,16.634666,77.756401,574.9109,True,True,True,True,1.0,1.0
TIC198241702,16.646443,64.559181,,True,True,True,True,1.0,1.0
TIC367739494,16.692199,80.04588,142.0152,True,True,True,True,1.0,1.0
TIC233500935,16.715993,76.449587,,True,True,True,True,1.0,1.0
TIC230127302,16.741058,70.429992,,True,True,True,True,1.0,1.0
TIC462615350,16.741279,60.086043,,True,True,True,True,1.0,1.0
TIC289539327,16.775565,65.71503,297.3624,True,True,True,True,1.0,1.0
TIC289580577,16.831322,61.173577,228.123,True,True,True,True,1.0,1.0
TIC115446313,16.831459,47.316983,175.818,True,True,True,False,1.0,0.9095744680851063
TIC199688472,16.876022,57.97415,191.2924,True,True,True,True,1.0,1.0
TIC289590465,16.896186,65.293961,184.7166,True,True,True,True,1.0,1.0
TIC287139872,16.897432,60.70962,103.3271,True,True,True,True,1.0,1.0
TIC356016119,16.942836,70.027316,,True,True,True,True,1.0,1.0
TIC356700488,16.96371,68.699581,149.5864,True,True,True,True,1.0,1.0
TIC224596152,16.966886,57.305263,157.2822,True,True,True,True,1.0,1.0
TIC459969957,16.987744,65.747438,179.057,True,True,True,True,1.0,1.0
TIC459970307,16.994936,64.699211,94.1371,True,True,True,True,1.0,1.0
TIC224600500,16.997239,58.462633,161.8149,True,True,True,True,1.0,1.0
TIC367753709,17.026714,79.067126,,True,True,True,True,1.0,1.0
TIC459978312,17.037694,64.600893,111.278,True,True,True,True,1.0,1.0
TIC198356533,17.075917,56.842549,103.6065,True,True,True,True,1.0,1.0
TIC219850915,17.085304,69.519093,102.8553,True,True,True,True,1.0,1.0
TIC198360694,17.106745,57.661033,232.8668,True,True,True,True,1.0,1.0
TIC219852882,17.108178,68.843303,115.8373,True,True,True,True,1.0,1.0
TIC307956397,17.110818,63.778635,,True,True,True,True,1.0,1.0
TIC219852584,17.11148,67.871503,392.5879,True,True,True,True,1.0,1.0
TIC219854185,17.118043,70.238481,326.2962,True,True,True,True,1.0,1.0
TIC237108272,17.14263,78.587055,,True,True,True,True,1.0,1.0
TIC219857012,17.155258,71.876672,73.0412,True,True,True,True,1.0,1.0
TIC219860288,17.183155,71.872204,41.3249,True,True,True,True,1.0,1.0
TIC198384408,17.185672,56.658901,26.9333,True,True,True,True,1.0,1.0
TIC441732151,17.191783,72.135555,,True,True,True,True,1.0,1.0
TIC198385543,17.196998,54.527848,47.314,True,True,True,True,1.0,1.0
TIC198390247,17.214885,57.197778,78.9216,True,True,True,True,1.0,1.0
TIC441739020,17.267817,72.161181,168.8847,True,True,True,True,1.0,1.0
TIC232612416,17.268239,63.105607,,True,True,True,True,1.0,1.0
TIC441738827,17.283636,72.747023,,True,True,True,True,1.0,1.0
TIC441739871,17.304278,74.302721,,True,True,True,True,1.0,1.0
TIC233680651,17.353537,63.239282,352.0631,True,True,True,True,1.0,1.0
TIC233681149,17.357654,65.012281,209.9473,True,True,True,True,1.0,1.0
TIC233684293,17.384192,63.110741,249.2088,True,True,True,True,1.0,1.0
TIC233684822,17.393526,64.862363,186.2267,True,True,True,True,1.0,1.0
TIC219879302,17.40863,67.989121,,True,True,True,True,1.0,1.0
TIC219751469,17.413323,61.423521,416.4411,True,True,True,True,1.0,1.0
TIC188768068,17.423306,52.790472,27.071,True,True,True,True,1.0,1.0
TIC441765914,17.424993,75.88228,127.168,True,True,True,True,1.0,1.0
TIC198456933,17.455784,58.214352,68.2808,True,True,True,True,1.0,1.0
TIC198457103,17.461402,57.510557,161.5822,True,True,True,True,1.0,1.0
TIC219762508,17.507018,63.123014,,True,True,True,True,1.0,1.0
TIC219776325,17.569561,61.121472,193.0278,True,True,True,True,1.0,1.0
TIC219778329,17.590138,64.380132,70.3532,True,True,True,True,1.0,1.0
TIC441798995,17.60986,77.126216,,True,True,True,True,1.0,1.0
TIC321668398,17.617535,53.021275,536.1355,True,True,True,True,1.0,1.0
TIC321669174,17.620151,53.025567,62.4575,True,True,True,True,1.0,1.0
TIC441797803,17.625263,73.261193,342.7945,True,True,True,True,1.0,1.0
TIC270515566,17.630269,47.230289,296.9121,True,True,True,False,1.0,0.925531914893617
TIC320525204,17.664103,56.078972,121.6086,True,True,True,True,1.0,1.0
TIC1400770435,17.664103,56.078974,,True,True,True,True,1.0,1.0
TIC332477926,17.706287,57.447771,,True,True,True,True,1.0,1.0
TIC165527918,17.742247,54.090971,179.3529,True,True,True,True,1.0,1.0
TIC165530380,17.76043,59.514199,252.8253,True,True,True,True,1.0,1.0
TIC233211762,17.779072,70.784502,152.008,True,True,True,True,1.0,1.0
TIC165551882,17.784489,57.226662,48.116,True,True,True,True,1.0,1.0
TIC165554103,17.795438,55.872814,136.2546,True,True,True,True,1.0,1.0
TIC341815197,17.820478,54.415932,,True,True,True,True,1.0,1.0
TIC341815767,17.834681,54.636127,161.041,True,True,True,True,1.0,1.0
TIC356311210,17.867738,53.730699,201.1263,True,True,True,True,1.0,1.0
TIC219821826,17.868636,62.79094,,True,True,True,True,1.0,1.0
TIC233047097,17.910727,60.356411,,True,True,True,True,1.0,1.0
TIC233059608,17.987159,64.142644,66.4907,True,True,True,True,1.0,1.0
TIC233066156,18.018507,61.347153,728.6505,True,True,True,True,1.0,1.0
TIC233068569,18.037206,63.54963,,True,True,True,True,1.0,1.0
TIC233071926,18.049287,60.417638,,True,True,True,True,1.0,1.0
TIC233071822,18.053737,60.675192,70.2731,True,True,True,True,1.0,1.0
TIC229586455,18.091235,75.145628,,True,True,True,True,1.0,1.0
TIC233078665,18.107459,62.176751,,True,True,True,True,1.0,1.0
TIC233087860,18.14693,60.678188,58.6941,True,True,True,True,1.0,1.0
TIC298647682,18.150949,53.217729,,True,True,True,True,1.0,1.0
